maker_id,maker_name,year,maker_group
1,ARCFOX,2017,BAIC Group
2,ARCFOX,2021,BAIC Group
3,ARCFOX,2022,BAIC Group
4,ARCFOX,2023,BAIC Group
5,ARCFOX,2024,BAIC Group
6,ARCFOX,2025,BAIC Group
7,Abarth,2015,FCA
8,Abarth,2016,FCA
9,Abarth,2020,FCA
10,Abarth,2021,Stellantis
11,Abarth,2022,Stellantis
12,Aiways,2020,Aiways
13,Aiways,2021,Aiways
14,Aiways,2022,Aiways
15,Aiways,2023,Aiways
16,Alexander Dennis,2023,NFI Group
17,Alexander Dennis,2024,NFI Group
18,Alfa Romeo,2008,FCA
19,Alfa Romeo,2009,FCA
20,Alfa Romeo,2010,FCA
21,Alfa Romeo,2011,FCA
22,Alfa Romeo,2012,FCA
23,Alfa Romeo,2013,FCA
24,Alfa Romeo,2015,FCA
25,Alfa Romeo,2016,FCA
26,Alfa Romeo,2017,FCA
27,Alfa Romeo,2018,FCA
28,Alfa Romeo,2019,FCA
29,Alfa Romeo,2020,FCA
30,Alfa Romeo,2021,Stellantis
31,Alfa Romeo,2022,Stellantis
32,Alfa Romeo,2023,Stellantis
33,Alfa Romeo,2024,Stellantis
34,Alpina,2012,Alpina
35,Alpina,2015,Alpina
36,Alpina,2016,Alpina
37,Alpina,2018,Alpina
38,Alpina,2020,Alpina
39,Alpina,2022,BMW
40,Alpina,2023,BMW
41,Alpina,2024,BMW
42,Arrinera,2016,Arrinera
43,Ashok Leyland,2021,Hinduja Group
44,Aston Martin,2010,Aston Martin
45,Aston Martin,2011,Aston Martin
46,Aston Martin,2012,Aston Martin
47,Aston Martin,2014,Aston Martin
48,Aston Martin,2015,Aston Martin
49,Aston Martin,2016,Aston Martin
50,Aston Martin,2018,Aston Martin
51,Aston Martin,2019,Aston Martin
52,Aston Martin,2020,Aston Martin
53,Aston Martin,2021,Aston Martin
54,Aston Martin,2022,Aston Martin
55,Aston Martin,2024,Aston Martin
56,Aston Martin,2025,Aston Martin
57,Audi,2008,VW Group
58,Audi,2009,VW Group
59,Audi,2010,VW Group
60,Audi,2011,VW Group
61,Audi,2012,VW Group
62,Audi,2013,VW Group
63,Audi,2014,VW Group
64,Audi,2015,VW Group
65,Audi,2016,VW Group
66,Audi,2017,VW Group
67,Audi,2018,VW Group
68,Audi,2019,VW Group
69,Audi,2020,VW Group
70,Audi,2021,VW Group
71,Audi,2022,VW Group
72,Audi,2023,VW Group
73,Audi,2024,VW Group
74,Audi,2025,VW Group
75,Aurus,2021,NAMI
76,Aurus,2022,NAMI
77,AvtoVAZ,2011,AvtoVAZ
78,AvtoVAZ,2012,AvtoVAZ
79,AvtoVAZ,2013,AvtoVAZ
80,AvtoVAZ,2014,AvtoVAZ
81,AvtoVAZ,2016,AvtoVAZ
82,AvtoVAZ,2018,AvtoVAZ
83,AvtoVAZ,2023,AvtoVAZ
84,AvtoVAZ,2024,AvtoVAZ
85,BAIC (Guangzhou),2016,BAIC Group
86,BAIC (Guangzhou),2017,BAIC Group
87,BAIC (Guangzhou),2018,BAIC Group
88,BAIC (Guangzhou),2019,BAIC Group
89,BAIC Foton,2025,BAIC Group
90,BAIC Motor,2012,BAIC Group
91,BAIC Motor,2013,BAIC Group
92,BAIC Motor,2014,BAIC Group
93,BAIC Motor,2015,BAIC Group
94,BAIC Motor,2016,BAIC Group
95,BAIC Motor,2017,BAIC Group
96,BAIC Motor,2018,BAIC Group
97,BAIC Motor,2019,BAIC Group
98,BAIC Motor,2020,BAIC Group
99,BAIC Motor,2021,BAIC Group
100,BAIC Motor,2024,BAIC Group
101,BAIC ORV,2019,BAIC Group
102,BAIC ORV,2020,BAIC Group
103,BAIC ORV,2021,BAIC Group
104,BAIC ORV,2022,BAIC Group
105,BAIC ORV,2023,BAIC Group
106,BAIC ORV,2024,BAIC Group
107,BAIC Ruili,2017,BAIC Group
108,BAIC Yinxiang,2015,BAIC Group
109,BAIC Yinxiang,2016,BAIC Group
110,BAIC Yinxiang,2017,BAIC Group
111,BAIC Yinxiang,2018,BAIC Group
112,BAIC Yinxiang,2019,BAIC Group
113,BAIC Zhenjiang,2016,BAIC Group
114,BAIC Zhenjiang,2017,BAIC Group
115,BAIC Zhenjiang,2018,BAIC Group
116,BAW,2020,BAIC Group
117,BAW,2022,BAIC Group
118,BAW,2023,Shandong Weiqiao Pioneering Group
119,BAW,2024,Shandong Weiqiao Pioneering Group
120,BMW,2008,BMW
121,BMW,2009,BMW
122,BMW,2010,BMW
123,BMW,2011,BMW
124,BMW,2012,BMW
125,BMW,2013,BMW
126,BMW,2014,BMW
127,BMW,2015,BMW
128,BMW,2016,BMW
129,BMW,2017,BMW
130,BMW,2018,BMW
131,BMW,2019,BMW
132,BMW,2020,BMW
133,BMW,2021,BMW
134,BMW,2022,BMW
135,BMW,2023,BMW
136,BMW,2024,BMW
137,BMW,2025,BMW
138,BMW Brilliance,2013,BMW Brilliance
139,BMW Brilliance,2014,BMW Brilliance
140,BMW Brilliance,2015,BMW Brilliance
141,BMW Brilliance,2016,BMW Brilliance
142,BMW Brilliance,2017,BMW Brilliance
143,BMW Brilliance,2018,BMW Brilliance
144,BMW Brilliance,2019,BMW Brilliance
145,BMW Brilliance,2020,BMW Brilliance
146,BMW Brilliance,2021,BMW Brilliance
147,BMW Brilliance,2022,BMW Brilliance
148,BMW Brilliance,2023,BMW Brilliance
149,BMW Brilliance,2024,BMW Brilliance
150,BMW Brilliance,2025,BMW Brilliance
151,BYD,2012,BYD
152,BYD,2013,BYD
153,BYD,2014,BYD
154,BYD,2015,BYD
155,BYD,2016,BYD
156,BYD,2017,BYD
157,BYD,2018,BYD
158,BYD,2019,BYD
159,BYD,2020,BYD
160,BYD,2021,BYD
161,BYD,2022,BYD
162,BYD,2023,BYD
163,BYD,2024,BYD
164,BYD,2025,BYD
165,Baoneng,2021,Baoneng Group
166,Baoneng,2023,Baoneng Group
167,Beijing Automobile Works,2013,BAIC Group
168,Beijing Automobile Works,2015,BAIC Group
169,Beijing Automobile Works,2017,BAIC Group
170,Beijing Automobile Works,2018,BAIC Group
171,Beijing Automobile Works,2019,BAIC Group
172,Beijing Benz,2013,BAIC Group
173,Beijing Benz,2014,BAIC Group
174,Beijing Benz,2015,BAIC Group
175,Beijing Benz,2016,BAIC Group
176,Beijing Benz,2017,BAIC Group
177,Beijing Benz,2018,BAIC Group
178,Beijing Benz,2019,BAIC Group
179,Beijing Benz,2020,BAIC Group
180,Beijing Benz,2021,BAIC Group
181,Beijing Benz,2022,BAIC Group
182,Beijing Benz,2023,BAIC Group
183,Beijing Benz,2024,BAIC Group
184,Beijing Borgward,2016,BAIC Group
185,Beijing Borgward,2017,BAIC Group
186,Beijing Borgward,2018,BAIC Group
187,Beijing Hyundai,2012,Hyundai Kia Automotive Group
188,Beijing Hyundai,2014,Hyundai Kia Automotive Group
189,Beijing Hyundai,2015,Hyundai Kia Automotive Group
190,Beijing Hyundai,2016,Hyundai Kia Automotive Group
191,Beijing Hyundai,2017,Hyundai Kia Automotive Group
192,Beijing Hyundai,2018,Hyundai Kia Automotive Group
193,Beijing Hyundai,2019,Hyundai Kia Automotive Group
194,Beijing Hyundai,2020,Hyundai Kia Automotive Group
195,Beijing Hyundai,2021,Hyundai Kia Automotive Group
196,Beijing Hyundai,2022,Hyundai Kia Automotive Group
197,Beijing Hyundai,2024,Hyundai Kia Automotive Group
198,Beiqi Foton,2012,BAIC Group
199,Beiqi Foton,2013,BAIC Group
200,Beiqi Foton,2016,BAIC Group
201,Beiqi Foton,2017,BAIC Group
202,Beiqi Foton,2018,BAIC Group
203,Beiqi Foton,2019,BAIC Group
204,Beiqi Foton,2020,BAIC Group
205,Beiqi Foton,2021,BAIC Group
206,Beiqi Foton,2022,BAIC Group
207,Beiqi Foton,2023,BAIC Group
208,Beiqi Foton,2024,BAIC Group
209,Bentley,2010,VW Group
210,Bentley,2011,VW Group
211,Bentley,2012,VW Group
212,Bentley,2013,VW Group
213,Bentley,2014,VW Group
214,Bentley,2015,VW Group
215,Bentley,2016,VW Group
216,Bentley,2017,VW Group
217,Bentley,2018,VW Group
218,Bentley,2019,VW Group
219,Bentley,2020,VW Group
220,Bentley,2021,VW Group
221,Bentley,2022,VW Group
222,Bisu,2017,Beiqi-Yinxiang Joint Venture
223,Brilliance,2013,Brilliance Automobile Group
224,Brilliance,2015,Brilliance Automobile Group
225,Brilliance,2016,Brilliance Automobile Group
226,Brilliance,2017,Brilliance Automobile Group
227,Brilliance,2018,Brilliance Automobile Group
228,Brilliance,2020,Brilliance Automobile Group
229,Brilliance Jinbei,2012,Brilliance Automobile Group
230,Brilliance Jinbei,2013,Brilliance Automobile Group
231,Brilliance Jinbei,2014,Brilliance Automobile Group
232,Brilliance Jinbei,2015,Brilliance Automobile Group
233,Brilliance Jinbei,2017,Brilliance Automobile Group
234,Brilliance Jinbei,2019,Brilliance Automobile Group
235,Brilliance Jinbei,2020,Brilliance Automobile Group
236,Brilliance SUNRA,2022,Brilliance Automobile Group
237,Brilliance Shineray,2017,Brilliance Automobile Group
238,Brilliance Shineray,2018,Brilliance Automobile Group
239,Brilliance Shineray,2019,Brilliance Automobile Group
240,Brilliance Shineray,2020,Brilliance Automobile Group
241,Bugatti,2010,VW Group
242,Bugatti,2012,VW Group
243,Bugatti,2014,VW Group
244,Bugatti,2016,VW Group
245,Changan,2012,Changan Automobile Group
246,Changan,2013,Changan Automobile Group
247,Changan,2014,Changan Automobile Group
248,Changan,2015,Changan Automobile Group
249,Changan,2016,Changan Automobile Group
250,Changan,2017,Changan Automobile Group
251,Changan,2018,Changan Automobile Group
252,Changan,2019,Changan Automobile Group
253,Changan,2020,Changan Automobile Group
254,Changan,2021,Changan Automobile Group
255,Changan,2022,Changan Automobile Group
256,Changan,2023,Changan Automobile Group
257,Changan,2024,Changan Automobile Group
258,Changan,2025,Changan Automobile Group
259,Changan EV,2019,Changan Automobile Group
260,Changan Ford,2013,Changan Automobile Group
261,Changan Ford,2014,Changan Automobile Group
262,Changan Ford,2015,Changan Automobile Group
263,Changan Ford,2016,Changan Automobile Group
264,Changan Ford,2017,Changan Automobile Group
265,Changan Ford,2018,Changan Automobile Group
266,Changan Ford,2019,Changan Automobile Group
267,Changan Ford,2020,Changan Automobile Group
268,Changan Ford,2021,Changan Automobile Group
269,Changan Ford,2022,Changan Automobile Group
270,Changan Ford,2023,Changan Automobile Group
271,Changan Ford,2024,Changan Automobile Group
272,Changan Kuayue,2023,Changan Automobile Group
273,Changan Kuayue,2024,Changan Automobile Group
274,Changan Mazda,2013,Mazda
275,Changan Mazda,2014,Mazda
276,Changan Mazda,2015,Mazda
277,Changan Mazda,2017,Mazda
278,Changan Mazda,2018,Mazda
279,Changan Mazda,2019,Mazda
280,Changan Mazda,2021,Mazda
281,Changan Mazda,2022,Mazda
282,Changan Mazda,2023,Mazda
283,Changan Mazda,2024,Mazda
284,Changan PSA,2014,Changan Automobile Group
285,Changan PSA,2015,Changan Automobile Group
286,Changan PSA,2016,Changan Automobile Group
287,Changan PSA,2017,Changan Automobile Group
288,Changan PSA,2018,Changan Automobile Group
289,Changan Suzuki,2012,Suzuki
290,Changan Suzuki,2013,Suzuki
291,Changan Suzuki,2014,Suzuki
292,Changan Suzuki,2015,Suzuki
293,Changan Suzuki,2016,Suzuki
294,Changan Suzuki,2017,Suzuki
295,Changan Suzuki,2018,Suzuki
296,Changan Suzuki,2019,Suzuki
297,Changan Volvo,2014,Changan Automobile Group
298,Changhe,2012,BAIC Group
299,Changhe,2013,BAIC Group
300,Changhe,2014,BAIC Group
301,Changhe,2015,BAIC Group
302,Changhe,2016,BAIC Group
303,Changhe,2017,BAIC Group
304,Changhe,2018,BAIC Group
305,Changhe,2019,BAIC Group
306,Changhe Suzuki,2013,Suzuki
307,Changhe Suzuki,2015,Suzuki
308,Changhe Suzuki,2016,Suzuki
309,Changhe Suzuki,2017,Suzuki
310,Changhe Suzuki,2018,Suzuki
311,Changhe Suzuki,2019,Suzuki
312,Chery,2010,Chery Automobile
313,Chery,2011,Chery Automobile
314,Chery,2012,Chery Automobile
315,Chery,2013,Chery Automobile
316,Chery,2014,Chery Automobile
317,Chery,2015,Chery Automobile
318,Chery,2016,Chery Automobile
319,Chery,2017,Chery Automobile
320,Chery,2018,Chery Automobile
321,Chery,2019,Chery Automobile
322,Chery,2020,Chery Automobile
323,Chery,2021,Chery Automobile
324,Chery,2022,Chery Automobile
325,Chery,2023,Chery Automobile
326,Chery,2024,Chery Automobile
327,Chery,2025,Chery Automobile
328,Chery Jaguar Land Rover,2015,Chery Automobile
329,Chery Jaguar Land Rover,2016,Chery Automobile
330,Chery Jaguar Land Rover,2017,Chery Automobile
331,Chery Jaguar Land Rover,2018,Chery Automobile
332,Chery Jaguar Land Rover,2019,Chery Automobile
333,Chery Jaguar Land Rover,2020,Chery Automobile
334,Chery Jaguar Land Rover,2021,Chery Automobile
335,Chery Jaguar Land Rover,2022,Chery Automobile
336,Chery New Energy,2016,Chery Automobile
337,Chery New Energy,2017,Chery Automobile
338,Chery New Energy,2018,Chery Automobile
339,Chery New Energy,2019,Chery Automobile
340,Chery New Energy,2020,Chery Automobile
341,Chery New Energy,2021,Chery Automobile
342,Chery New Energy,2022,Chery Automobile
343,Chery New Energy,2023,Chery Automobile
344,Chery New Energy,2024,Chery Automobile
345,Chery New Energy,2025,Chery Automobile
346,Chrysler,2010,FCA
347,Chrysler,2011,FCA
348,Chrysler,2012,FCA
349,Chrysler,2013,FCA
350,Chrysler,2014,FCA
351,Chrysler,2015,FCA
352,Chrysler,2016,FCA
353,Chrysler,2017,FCA
354,Chrysler,2018,FCA
355,Chrysler,2019,FCA
356,Chrysler,2020,FCA
357,Chrysler,2021,Stellantis
358,Chrysler,2022,Stellantis
359,Chrysler,2023,Stellantis
360,Chrysler,2024,Stellantis
361,Citroen,2008,PSA
362,Citroen,2009,PSA
363,Citroen,2010,PSA
364,Citroen,2011,PSA
365,Citroen,2012,PSA
366,Citroen,2013,PSA
367,Citroen,2014,PSA
368,Citroen,2015,PSA
369,Citroen,2016,PSA
370,Citroen,2017,PSA
371,Citroen,2018,PSA
372,Citroen,2020,PSA
373,Citroen,2021,Stellantis
374,Citroen,2022,Stellantis
375,Citroen,2023,Stellantis
376,Citroen,2024,Stellantis
377,Citroen,2025,Stellantis
378,Cowin,2018,Small and Medium OEM
379,Cowin,2020,Small and Medium OEM
380,DENZA New Energy,2016,Daimler Group
381,DENZA New Energy,2018,Daimler Group
382,DENZA New Energy,2020,Daimler Group
383,DENZA New Energy,2023,BYD Auto
384,DENZA New Energy,2024,BYD Auto
385,DENZA New Energy,2025,BYD Auto
386,DFSK,2014,Dongfeng
387,DFSK,2015,Dongfeng
388,DFSK,2016,Dongfeng
389,DFSK,2017,Dongfeng
390,DFSK,2018,Dongfeng
391,DFSK,2019,Dongfeng
392,DFSK,2020,Dongfeng
393,DFSK,2021,Dongfeng
394,DFSK,2022,Dongfeng
395,DFSK,2023,Dongfeng
396,DS Automobiles,2016,Stellantis
397,DS Automobiles,2018,Stellantis
398,DS Automobiles,2019,Stellantis
399,DS Automobiles,2020,Stellantis
400,DS Automobiles,2021,Stellantis
401,DS Automobiles,2022,Stellantis
402,DS Automobiles,2023,Stellantis
403,DS Automobiles,2024,Stellantis
404,Dacia,2009,Renault
405,Dacia,2010,Renault
406,Dacia,2011,Renault
407,Dacia,2017,Renault
408,Dacia,2022,Renault
409,Daihatsu,2008,Toyota Group
410,Daihatsu,2009,Toyota Group
411,Daihatsu,2010,Toyota Group
412,Daihatsu,2011,Toyota Group
413,Daihatsu,2012,Toyota Group
414,Daihatsu,2013,Toyota Group
415,Daihatsu,2014,Toyota Group
416,Daihatsu,2015,Toyota Group
417,Daihatsu,2016,Toyota Group
418,Daihatsu,2017,Toyota Group
419,Daihatsu,2018,Toyota Group
420,Daihatsu,2019,Toyota Group
421,Daihatsu,2020,Toyota Group
422,Daihatsu,2021,Toyota Group
423,Daihatsu,2022,Toyota Group
424,Daihatsu,2023,Toyota Group
425,Daihatsu,2024,Toyota Group
426,Daimler,2008,Daimler Group
427,Daimler,2009,Daimler Group
428,Daimler,2010,Daimler Group
429,Daimler,2011,Daimler Group
430,Daimler,2012,Daimler Group
431,Daimler,2013,Daimler Group
432,Daimler,2014,Daimler Group
433,Daimler,2015,Daimler Group
434,Daimler,2016,Daimler Group
435,Daimler,2017,Daimler Group
436,Daimler,2018,Daimler Group
437,Daimler,2019,Daimler Group
438,Daimler,2020,Daimler Group
439,Daimler,2021,Daimler Group
440,Daimler Truck,2015,Daimler Group
441,Daimler Truck,2023,Daimler Group
442,Dayun,2021,Small and Medium OEM
443,Dayun,2023,Small and Medium OEM
444,Dayun,2024,Small and Medium OEM
445,Deepal,2022,Changan Automobile Group
446,Deepal,2023,Changan Automobile Group
447,Deepal,2024,Changan Automobile Group
448,Dodge,2008,FCA
449,Dodge,2009,FCA
450,Dodge,2010,FCA
451,Dodge,2011,FCA
452,Dodge,2012,FCA
453,Dodge,2013,FCA
454,Dodge,2014,FCA
455,Dodge,2015,FCA
456,Dodge,2017,FCA
457,Dodge,2018,FCA
458,Dodge,2019,FCA
459,Dodge,2020,FCA
460,Dodge,2021,Stellantis
461,Dodge,2022,Stellantis
462,Dodge,2023,Stellantis
463,Dodge,2024,Stellantis
464,Dongfeng,2019,Dongfeng
465,Dongfeng Honda,2013,Dongfeng
466,Dongfeng Honda,2014,Dongfeng
467,Dongfeng Honda,2015,Dongfeng
468,Dongfeng Honda,2016,Dongfeng
469,Dongfeng Honda,2017,Dongfeng
470,Dongfeng Honda,2018,Dongfeng
471,Dongfeng Honda,2019,Dongfeng
472,Dongfeng Honda,2020,Dongfeng
473,Dongfeng Honda,2021,Dongfeng
474,Dongfeng Honda,2022,Dongfeng
475,Dongfeng Honda,2023,Dongfeng
476,Dongfeng Honda,2024,Dongfeng
477,Dongfeng Liuzhou Motor,2013,Dongfeng
478,Dongfeng Liuzhou Motor,2015,Dongfeng
479,Dongfeng Liuzhou Motor,2016,Dongfeng
480,Dongfeng Liuzhou Motor,2017,Dongfeng
481,Dongfeng Liuzhou Motor,2018,Dongfeng
482,Dongfeng Liuzhou Motor,2019,Dongfeng
483,Dongfeng Liuzhou Motor,2020,Dongfeng
484,Dongfeng Liuzhou Motor,2021,Dongfeng
485,Dongfeng Liuzhou Motor,2022,Dongfeng
486,Dongfeng Liuzhou Motor,2023,Dongfeng
487,Dongfeng Liuzhou Motor,2024,Dongfeng
488,Dongfeng Nissan,2012,Dongfeng
489,Dongfeng Nissan,2013,Dongfeng
490,Dongfeng Nissan,2014,Dongfeng
491,Dongfeng Nissan,2015,Dongfeng
492,Dongfeng Nissan,2016,Dongfeng
493,Dongfeng Nissan,2017,Dongfeng
494,Dongfeng Nissan,2018,Dongfeng
495,Dongfeng Nissan,2019,Dongfeng
496,Dongfeng Nissan,2020,Dongfeng
497,Dongfeng Nissan,2021,Dongfeng
498,Dongfeng Nissan,2022,Dongfeng
499,Dongfeng Nissan,2023,Dongfeng
500,Dongfeng Nissan,2024,Dongfeng
501,Dongfeng Nissan,2025,Dongfeng
502,Dongfeng Passenger Vehicle,2015,Dongfeng
503,Dongfeng Passenger Vehicle,2016,Dongfeng
504,Dongfeng Passenger Vehicle,2017,Dongfeng
505,Dongfeng Passenger Vehicle,2018,Dongfeng
506,Dongfeng Passenger Vehicle,2019,Dongfeng
507,Dongfeng Passenger Vehicle,2020,Dongfeng
508,Dongfeng Passenger Vehicle,2021,Dongfeng
509,Dongfeng Passenger Vehicle,2022,Dongfeng
510,Dongfeng Passenger Vehicle,2023,Dongfeng
511,Dongfeng Passenger Vehicle,2024,Dongfeng
512,Dongfeng Peugeot Citroen,2008,Dongfeng
513,Dongfeng Peugeot Citroen,2011,Dongfeng
514,Dongfeng Peugeot Citroen,2012,Dongfeng
515,Dongfeng Peugeot Citroen,2013,Dongfeng
516,Dongfeng Peugeot Citroen,2014,Dongfeng
517,Dongfeng Peugeot Citroen,2015,Dongfeng
518,Dongfeng Peugeot Citroen,2016,Dongfeng
519,Dongfeng Peugeot Citroen,2017,Dongfeng
520,Dongfeng Peugeot Citroen,2018,Dongfeng
521,Dongfeng Peugeot Citroen,2019,Dongfeng
522,Dongfeng Peugeot Citroen,2020,Dongfeng
523,Dongfeng Peugeot Citroen,2021,Dongfeng
524,Dongfeng Peugeot Citroen,2022,Dongfeng
525,Dongfeng Peugeot Citroen,2023,Dongfeng
526,Dongfeng Peugeot Citroen,2024,Dongfeng
527,Dongfeng Renault,2016,Dongfeng
528,Dongfeng Renault,2017,Dongfeng
529,Dongfeng Renault,2018,Dongfeng
530,Dongfeng Renault,2019,Dongfeng
531,Dongfeng Yueda Kia,2014,Hyundai Kia Automotive Group
532,Dongfeng Yueda Kia,2015,Hyundai Kia Automotive Group
533,Dongfeng Yueda Kia,2016,Hyundai Kia Automotive Group
534,Dongfeng Yueda Kia,2017,Hyundai Kia Automotive Group
535,Dongfeng Yueda Kia,2018,Hyundai Kia Automotive Group
536,Dongfeng Yueda Kia,2019,Hyundai Kia Automotive Group
537,Dongfeng Yueda Kia,2020,Hyundai Kia Automotive Group
538,Dongfeng Yueda Kia,2021,Hyundai Kia Automotive Group
539,Dongfeng Yulon,2013,Dongfeng
540,Dongfeng Yulon,2015,Dongfeng
541,Dongfeng Yulon,2016,Dongfeng
542,Dongfeng Yulon,2017,Dongfeng
543,Dorcen Auto,2019,Small and Medium OEM
544,Eicher,2021,Eicher Motors
545,Enovate,2021,Small and Medium OEM
546,Enovate,2022,Small and Medium OEM
547,Enovate,2024,Small and Medium OEM
548,FAW,2016,FAW (China FAW Group Corp.)
549,FAW,2017,FAW (China FAW Group Corp.)
550,FAW,2018,FAW (China FAW Group Corp.)
551,FAW,2019,FAW (China FAW Group Corp.)
552,FAW,2020,FAW (China FAW Group Corp.)
553,FAW,2021,FAW (China FAW Group Corp.)
554,FAW,2022,FAW (China FAW Group Corp.)
555,FAW,2023,FAW (China FAW Group Corp.)
556,FAW,2024,FAW (China FAW Group Corp.)
557,FAW,2025,FAW (China FAW Group Corp.)
558,FAW Bestune,2018,FAW (China FAW Group Corp.)
559,FAW Bestune,2020,FAW (China FAW Group Corp.)
560,FAW Bestune,2021,FAW (China FAW Group Corp.)
561,FAW Bestune,2022,FAW (China FAW Group Corp.)
562,FAW Bestune,2023,FAW (China FAW Group Corp.)
563,FAW Bestune,2024,FAW (China FAW Group Corp.)
564,FAW Bestune,2025,FAW (China FAW Group Corp.)
565,FAW Car,2012,FAW (China FAW Group Corp.)
566,FAW Car,2013,FAW (China FAW Group Corp.)
